"","Method","Num contigs","GC perc","Tax 16S","Disparity","Completeness","Contamination"
"Seagrass.concoct.289.fa_sub.contigs","DAS",3711,56.69,"",0.04,70.53,28
"Seagrass.metabat2.169.fa.contigs","DAS",756,60.33,"",0.011,70.53,3.29
"Seagrass.metabat2.137.fa_sub.contigs","DAS",795,56.72,"",0.007,70.12,10.12
"Seagrass.concoct.140.fa_sub.contigs","DAS",2917,36.73,"",0.278,70.08,29.54
"Seagrass.concoct.293.fa_sub.contigs","DAS",5046,55.92,"",0.177,69.83,23.13
"Seagrass.concoct.291.fa_sub.contigs","DAS",6114,52.63,"",0.02,69.81,34.78
"Seagrass.metabat2.273.fa_sub.contigs","DAS",1116,62.17,"",0.018,69.75,14.63
"Seagrass.metabat2.374.fa_sub.contigs","DAS",503,34.6,"",0.031,69.69,9.95
"Seagrass.concoct.46.fa_sub.contigs","DAS",7983,55.02,"",0.021,69.53,29.5
"Seagrass.concoct.217.fa_sub.contigs","DAS",3258,57.08,"",0.016,69.44,28.77
"Seagrass.metabat2.159.fa_sub.contigs","DAS",1685,45.87,"",0.008,69.34,29.7
"Seagrass.metabat2.362.fa_sub.contigs","DAS",1179,67.41,"superkingdom:Bacteria",0.165,69.26,34.53
"Seagrass.metabat2.142.fa_sub.contigs","DAS",1978,52.21,"",0.014,69,23.83
"Seagrass.concoct.372.fa_sub.contigs","DAS",1852,57.04,"",0.005,68.94,20.02
"Seagrass.metabat2.223.fa.contigs","DAS",1128,61.89,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Actinomycetes;order:Pseudonocardiales;family:Pseudonocardiaceae",0.025,68.83,16.77
"Seagrass.concoct.199.fa_sub.contigs","DAS",2864,50.41,"",0.003,68.67,17.26
"Seagrass.metabat2.61.fa.contigs","DAS",585,59.96,"",0.004,68.27,9.16
"Seagrass.concoct.139.fa_sub.contigs","DAS",5302,60.84,"",0.001,68.07,21.59
"Seagrass.metabat2.212.fa.contigs","DAS",415,56.33,"",0,68.04,7.12
"Seagrass.concoct.100.fa_sub.contigs","DAS",2863,50,"",0.002,67.85,16.63
"Seagrass.concoct.280.fa_sub.contigs","DAS",4644,55.52,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria|superkingdom:Bacteria;phylum:Spirochaetota;class:Spirochaetia;order:Spirochaetales;family:Spirochaetaceae|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0.005,67.81,21.74
"Seagrass.concoct.309.fa_sub.contigs","DAS",3122,50.87,"",0.065,67.57,23.42
"Seagrass.concoct.173.fa_sub.contigs","DAS",4015,55.83,"superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia;order:Planctomycetales;family:Planctomycetaceae|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae;genus:Ornatilinea",0.018,67.46,22.1
"Seagrass.concoct.320.fa_sub.contigs","DAS",2531,41.53,"superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Ignavibacteriota;class:Ignavibacteria;order:Ignavibacteriales;family:Ignavibacteriaceae|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Thiotrichales;family:Thiotrichaceae;genus:Cocleimonas",0.284,67.4,18.11
"Seagrass.concoct.116.fa_sub.contigs","DAS",3376,55.09,"",0.041,67.34,28.25
"Seagrass.metabat2.327.fa.contigs","DAS",1973,57.05,"superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia;order:Pirellulales;family:Pirellulaceae;genus:Rhodopirellula|superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia;order:Planctomycetales;family:Planctomycetaceae",0.013,66.82,19.11
"Seagrass.metabat2.395.fa_sub.contigs","DAS",616,53.75,"",0.027,66.72,13.79
"Seagrass.metabat2.115.fa.contigs","DAS",639,51,"",0,66.65,3.08
"Seagrass.metabat2.59.fa.contigs","DAS",944,62.6,"",0,66.61,17.45
"Seagrass.concoct.181.fa_sub.contigs","DAS",5157,59.91,"superkingdom:Bacteria|superkingdom:Bacteria;phylum:Spirochaetota;class:Spirochaetia;order:Spirochaetales;family:Spirochaetaceae",0.003,66.6,18.95
"Seagrass.concoct.69.fa_sub.contigs","DAS",5045,46.46,"superkingdom:Bacteria|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Ignavibacteriota;class:Ignavibacteria;order:Ignavibacteriales;family:Melioribacteraceae;genus:Melioribacter|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0.037,66.27,19.62
"Seagrass.metabat2.280.fa.contigs","DAS",442,59.69,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0.005,66.21,1.69
"Seagrass.concoct.79.fa_sub.contigs","DAS",2260,49.11,"",0.27,65.85,21.82
"Seagrass.concoct.154.fa_sub.contigs","DAS",4276,59.56,"",0.132,65.84,29.19
"Seagrass.concoct.51.fa_sub.contigs","DAS",1230,55.16,"",0.024,65.76,8.67
"Seagrass.concoct.117.fa_sub.contigs","DAS",3803,45.7,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae|superkingdom:Bacteria;phylum:Campylobacterota;class:Epsilonproteobacteria;order:Campylobacterales;family:Helicobacteraceae|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0.025,65.75,14.55
"Seagrass.metabat2.130.fa.contigs","DAS",466,38.52,"",0.018,65.64,7.26
"Seagrass.metabat2.187.fa.contigs","DAS",382,52.18,"superkingdom:Bacteria",0,65.61,8.09
"Seagrass.metabat2.170.fa_sub.contigs","DAS",523,40.82,"",0.017,65.38,8.14
"Seagrass.concoct.105.fa_sub.contigs","DAS",5066,56.04,"",0.051,65.27,23.45
"Seagrass.metabat2.222.fa.contigs","DAS",1006,55.16,"",0.015,64.74,6.84
"Seagrass.metabat2.267.fa.contigs","DAS",340,37.53,"",0.009,64.34,3.77
"Seagrass.metabat2.34.fa.contigs","DAS",477,48.69,"",0,64.11,10.7
"Seagrass.concoct.34.fa_sub.contigs","DAS",1377,56.76,"",0.018,63.85,11.1
"Seagrass.metabat2.406.fa_sub.contigs","DAS",531,49.17,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0,63.82,18.61
"Seagrass.concoct.197.fa_sub.contigs","DAS",3892,57.26,"superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia;order:Planctomycetales;family:Planctomycetaceae",0.031,63.74,20.17
"Seagrass.concoct.220.fa_sub.contigs","DAS",2010,60.17,"",0.003,63.65,12.86
"Seagrass.concoct.274.fa_sub.contigs","DAS",2815,43.52,"",0.124,63.65,13.3
"Seagrass.concoct.57.fa_sub.contigs","DAS",4050,51.79,"",0.02,63.16,22.38
"Seagrass.concoct.178.fa_sub.contigs","DAS",3682,61.72,"",0.125,63.14,19.01
"Seagrass.concoct.253.fa_sub.contigs","DAS",4255,60.19,"superkingdom:Bacteria|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Caldilineae;order:Caldilineales;family:Caldilineaceae;genus:Litorilinea",0.003,63.1,18.78
"Seagrass.concoct.152.fa_sub.contigs","DAS",2433,64.38,"superkingdom:Bacteria",0.018,62.88,22.74
"Seagrass.concoct.307.fa_sub.contigs","DAS",3378,46.96,"",0.003,62.86,14.59
"Seagrass.concoct.24.fa_sub.contigs","DAS",1796,33.07,"superkingdom:Archaea",0.042,62.67,10.49
"Seagrass.concoct.230.fa_sub.contigs","DAS",3085,50.32,"",0.133,62.53,18.91
"Seagrass.metabat2.421.fa.contigs","DAS",277,37.93,"",0.045,62.48,2.04
"Seagrass.metabat2.141.fa.contigs","DAS",604,66.86,"",0.02,62.33,1.85
"Seagrass.metabat2.189.fa_sub.contigs","DAS",789,37.52,"",0.004,62.22,20.97
"Seagrass.concoct.58.fa_sub.contigs","DAS",3602,43.16,"superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Flavobacteriaceae;genus:Actibacter|superkingdom:Bacteria;phylum:Campylobacterota;class:Epsilonproteobacteria|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0.031,61.73,16.33
"Seagrass.metabat2.113.fa_sub.contigs","DAS",266,33.13,"",0.027,61.71,8.6
"Seagrass.concoct.198.fa_sub.contigs","DAS",4447,52.42,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Chromatiales",0.015,61.61,17.64
"Seagrass.metabat2.287.fa.contigs","DAS",468,66.73,"superkingdom:Bacteria;phylum:Cyanobacteria",0.064,61.39,22.12
"Seagrass.concoct.195.fa_sub.contigs","DAS",2280,56.27,"",0.001,61.16,11.78
"Seagrass.concoct.277.fa_sub.contigs","DAS",4510,59.29,"superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia;order:Pirellulales;family:Pirellulaceae;genus:Rhodopirellula",0.004,61.13,16.64
"Seagrass.concoct.332.fa_sub.contigs","DAS",2457,63.68,"",0.026,61.03,26.96
"Seagrass.concoct.132.fa_sub.contigs","DAS",3029,56.43,"superkingdom:Bacteria|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0.003,60.94,10.78
"Seagrass.metabat2.214.fa_sub.contigs","DAS",781,32.5,"",0,60.91,12.15
"Seagrass.metabat2.341.fa_sub.contigs","DAS",691,59.27,"",0.087,60.9,4.65
"Seagrass.concoct.210.fa_sub.contigs","DAS",2614,57.66,"",0.018,60.77,22.77
"Seagrass.concoct.318.fa_sub.contigs","DAS",3853,55.64,"",0.04,60.69,20.28
"Seagrass.concoct.153.fa_sub.contigs","DAS",1642,28.27,"",0.318,60.65,3.72
"Seagrass.metabat2.108.fa.contigs","DAS",528,63.21,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0.003,60.5,2.19
"Seagrass.concoct.361.fa_sub.contigs","DAS",2999,50.7,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobulbia;order:Desulfobulbales;family:Desulfobulbaceae",0.015,60.43,22.48
"Seagrass.metabat2.158.fa_sub.contigs","DAS",1459,58.69,"superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia;order:Planctomycetales;family:Planctomycetaceae",0.003,60.29,19.81
"Seagrass.concoct.248.fa_sub.contigs","DAS",5956,50.56,"superkingdom:Bacteria|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0.004,59.72,23.68
"Seagrass.concoct.104.fa_sub.contigs","DAS",3923,65.55,"",0.001,59.59,17.54
"Seagrass.metabat2.120.fa_sub.contigs","DAS",633,55.55,"",0.002,59.48,2.02
"Seagrass.concoct.63.fa_sub.contigs","DAS",2605,56.88,"superkingdom:Bacteria|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Dehalococcoidia;order:Dehalococcoidales;family:Dehalococcoidaceae;genus:Dehalococcoides|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0.05,59.19,21.69
"Seagrass.metabat2.390.fa_sub.contigs","DAS",590,64.19,"",0.002,59.19,12.35
"Seagrass.concoct.290.fa_sub.contigs","DAS",5666,55.01,"",0.234,58.85,21.95
"Seagrass.concoct.103.fa_sub.contigs","DAS",4908,55.15,"superkingdom:Bacteria",0.055,58.68,14.54
"Seagrass.concoct.14.fa_sub.contigs","DAS",2752,51.59,"",0.04,58.61,5.89
"Seagrass.concoct.136.fa_sub.contigs","DAS",787,58.04,"",0.007,57.86,16.83
"Seagrass.concoct.135.fa_sub.contigs","DAS",3745,45.56,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae",0.061,57.84,15.66
"Seagrass.concoct.244.fa_sub.contigs","DAS",4264,60.27,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0.003,57.51,15.6
"Seagrass.concoct.107.fa_sub.contigs","DAS",12617,53.77,"",0.012,57.45,15.06
"Seagrass.concoct.2.fa_sub.contigs","DAS",3948,45.04,"superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Flavobacteriaceae",0.029,56.89,14.1
"Seagrass.metabat2.68.fa_sub.contigs","DAS",500,56.85,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0,56.84,2.9
"Seagrass.metabat2.48.fa_sub.contigs","DAS",697,61.43,"",0.009,56.83,6.49
"Seagrass.metabat2.275.fa.contigs","DAS",345,51.47,"",0.012,56.49,10.47
"Seagrass.concoct.302.fa_sub.contigs","DAS",2880,55.09,"superkingdom:Bacteria",0.012,56.22,12.65
"Seagrass.concoct.327.fa_sub.contigs","DAS",1398,63.05,"",0,56.14,2.45
"Seagrass.metabat2.19.fa_sub.contigs","DAS",1440,60.38,"superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia;order:Planctomycetales;family:Planctomycetaceae",0.039,56.12,9.81
"Seagrass.concoct.86.fa_sub.contigs","DAS",3712,59.78,"",0.032,55.39,17.59
"Seagrass.metabat2.69.fa_sub.contigs","DAS",384,56.18,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0.012,55.38,3.19
"Seagrass.concoct.367.fa_sub.contigs","DAS",3755,61.12,"",0.097,55.18,13.82
"Seagrass.metabat2.264.fa.contigs","DAS",459,56.89,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Rhodobacterales;family:Roseobacteraceae;genus:Loktanella",0.033,54.87,2.64
"Seagrass.concoct.39.fa.contigs","DAS",1933,53.6,"",0.289,54.85,7.05
"Seagrass.concoct.194.fa_sub.contigs","DAS",2994,54.27,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobulbia;order:Desulfobulbales;family:Desulfobulbaceae;genus:Desulfobulbus|superkingdom:Eukaryota;kingdom:Viridiplantae;phylum:Streptophyta",0.078,54.47,12.71
"Seagrass.concoct.121.fa_sub.contigs","DAS",2525,68.31,"",0.005,54.36,14.62
"Seagrass.concoct.325.fa_sub.contigs","DAS",5109,53.3,"",0.059,53.91,14.83
"Seagrass.metabat2.239.fa_sub.contigs","DAS",543,57.51,"",0.005,53.88,10.19
"Seagrass.metabat2.22.fa_sub.contigs","DAS",380,39.94,"",0.016,53.84,6.02
"Seagrass.concoct.216.fa_sub.contigs","DAS",1782,51.99,"",0.017,53.82,14.51
"Seagrass.metabat2.9.fa_sub.contigs","DAS",392,57.38,"",0.159,53.75,4.55
"Seagrass.concoct.196.fa_sub.contigs","DAS",4251,60.62,"superkingdom:Archaea;clade:TACK group;phylum:Thermoproteota;class:Thermoprotei",0.001,53.64,15.57
"Seagrass.concoct.363.fa_sub.contigs","DAS",1288,57.92,"",0.006,52.93,18.38
"Seagrass.metabat2.351.fa_sub.contigs","DAS",891,49.2,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae",0.005,52.88,3.47
"Seagrass.concoct.180.fa_sub.contigs","DAS",2394,57.54,"",0.036,52.87,9.72
"Seagrass.metabat2.417.fa.contigs","DAS",403,46.63,"",0.008,52.75,0.92
"Seagrass.concoct.243.fa_sub.contigs","DAS",3347,43.54,"",0.013,51.89,13.97
"Seagrass.concoct.134.fa_sub.contigs","DAS",3053,63.42,"",0.003,51.3,11.04
"Seagrass.metabat2.253.fa_sub.contigs","DAS",1194,63.71,"",0.002,51.03,7.83
"Seagrass.metabat2.381.fa.contigs","DAS",231,65.42,"",0.049,51,0.46
"Seagrass.concoct.165.fa_sub.contigs","DAS",2984,57.18,"",0.042,50.98,9.68
"Seagrass.concoct.399.fa_sub.contigs","DAS",2942,56.97,"superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Flavobacteriaceae;genus:Winogradskyella",0.007,50.95,14.66
"Seagrass.metabat2.151.fa_sub.contigs","DAS",677,54.55,"",0.052,50.67,8.61
"Seagrass.concoct.214.fa_sub.contigs","DAS",1384,57.47,"",0.021,50.11,12.08
"Seagrass.concoct.224.fa_sub.contigs","DAS",1388,56.85,"",0.009,49.94,11.2
"Seagrass.metabat2.89.fa_sub.contigs","DAS",389,56.23,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0.012,49.2,1.52
"Seagrass.metabat2.291.fa.contigs","DAS",666,57.13,"",0,48.97,4.32
"Seagrass.concoct.260.fa_sub.contigs","DAS",1603,52.13,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria",0.1,48.78,6.34
"Seagrass.metabat2.339.fa.contigs","DAS",170,63.63,"",0,48.77,0.25
"Seagrass.metabat2.220.fa_sub.contigs","DAS",741,68.59,"",0.07,48.65,16.04
"Seagrass.concoct.71.fa_sub.contigs","DAS",3578,49.75,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Actinomycetes;order:Actinomycetales",0.351,48.41,17.78
"Seagrass.concoct.312.fa_sub.contigs","DAS",5637,55.09,"superkingdom:Archaea|superkingdom:Archaea;clade:TACK group;phylum:Thermoproteota;class:Thermoprotei|superkingdom:Archaea;clade:TACK group;phylum:Thermoproteota;class:Thermoprotei;order:Thermofilales;family:Thermofilaceae;genus:Thermofilum|superkingdom:Archaea;phylum:Candidatus Thermoplasmatota;class:Thermoplasmata;order:Methanomassiliicoccales;family:Methanomassiliicoccaceae;genus:Methanomassiliicoccus|superkingdom:Bacteria|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Caldilineae;order:Caldilineales;family:Caldilineaceae|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Dehalococcoidia;order:Dehalococcoidales;family:Dehalococcoidaceae;genus:Dehalococcoides|superkingdom:Bacteria;phylum:Calditrichota;class:Calditrichia;order:Calditrichales;family:Calditrichaceae;genus:Caldithrix|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0.006,48.16,18.42
"Seagrass.metabat2.238.fa_sub.contigs","DAS",501,50.74,"superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae",0.012,47.76,8.84
"Seagrass.metabat2.387.fa.contigs","DAS",672,38,"",0.005,47.39,2.26
"Seagrass.concoct.127.fa_sub.contigs","DAS",2689,50.39,"",0.103,47.24,8.29
"Seagrass.concoct.162.fa_sub.contigs","DAS",1422,54.22,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Chromatiales",0.037,47.24,12.2
"Seagrass.concoct.200.fa_sub.contigs","DAS",2239,48.83,"superkingdom:Bacteria",0.068,46.47,2.12
"Seagrass.metabat2.24.fa.contigs","DAS",316,51.08,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae",0.014,46.38,2.43
"Seagrass.concoct.1.fa_sub.contigs","DAS",1681,49.44,"",0.395,45.87,4.72
"Seagrass.metabat2.318.fa_sub.contigs","DAS",323,59.07,"",0.003,45.78,5.31
"Seagrass.metabat2.243.fa.contigs","DAS",1076,59.73,"",0.066,45.29,7.47
"Seagrass.metabat2.245.fa_sub.contigs","DAS",489,51.31,"",0.024,45.24,1.59
"Seagrass.concoct.317.fa_sub.contigs","DAS",1768,48.96,"",0.242,44.97,9.81
"Seagrass.concoct.159.fa_sub.contigs","DAS",3769,56.63,"superkingdom:Bacteria|superkingdom:Bacteria;clade:delta/epsilon subdivisions;class:Deltaproteobacteria",0.207,44.88,12.5
"Seagrass.metabat2.364.fa.contigs","DAS",337,68.55,"",0.007,44.81,0.08
"Seagrass.concoct.184.fa_sub.contigs","DAS",1764,56.18,"",0.067,44.8,4.92
"Seagrass.concoct.211.fa_sub.contigs","DAS",2936,43.6,"superkingdom:Bacteria;clade:delta/epsilon subdivisions;class:Deltaproteobacteria",0.017,44.64,9.52
"Seagrass.metabat2.365.fa.contigs","DAS",45,31.62,"superkingdom:Eukaryota;clade:Sar;clade:Stramenopiles;clade:Ochrophyta;phylum:Bacillariophyta",0.073,44.58,11.26
"Seagrass.concoct.385.fa_sub.contigs","DAS",2354,54.76,"superkingdom:Bacteria",0.053,44.13,6.38
"Seagrass.metabat2.35.fa_sub.contigs","DAS",391,33.29,"",0,44.07,7.18
"Seagrass.concoct.273.fa_sub.contigs","DAS",2766,55.17,"",0.046,44.05,5.2
"Seagrass.concoct.64.fa_sub.contigs","DAS",843,57.48,"",0,44.02,10.9
"Seagrass.metabat2.155.fa_sub.contigs","DAS",624,56.24,"",0.268,43.22,5.28
"Seagrass.metabat2.16.fa_sub.contigs","DAS",258,38.31,"",0,42.89,0.44
"Seagrass.metabat2.197.fa_sub.contigs","DAS",662,50.31,"",0.002,42.35,3.9
"Seagrass.metabat2.100.fa_sub.contigs","DAS",758,67.74,"",0.119,41.73,0.73
"Seagrass.concoct.283.fa_sub.contigs","DAS",1714,39.7,"superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Oceanospirillales;family:Halomonadaceae;no rank:Zymobacter group;genus:Candidatus Carsonella",0.085,41.41,8.62
"Seagrass.metabat2.47.fa_sub.contigs","DAS",696,54.91,"",0.087,41.06,7.98
"Seagrass.concoct.392.fa_sub.contigs","DAS",6918,48.53,"",0.007,40.46,26.08
"Seagrass.concoct.275.fa_sub.contigs","DAS",1518,55.9,"",0.062,40.3,0.21
"Seagrass.metabat2.349.fa_sub.contigs","DAS",559,49.05,"",0,40.09,3.81
"Seagrass.metabat2.72.fa_sub.contigs","DAS",471,45.26,"superkingdom:Bacteria",0.013,39.91,2.25
